,GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
44156,39061000200,2000,2,"""Hamilton County"," Ohio""",1335.0,42.39,589.0,99.33,369.0,15938.0,0.0,25.1,1.2,96.85,0.3,0.07,0.0,0.0,1.57,0.0,,,,,0,0
44157,39061000200,2001,2,"""Hamilton County"," Ohio""",1335.0,42.39,581.0,99.33,369.0,15938.0,0.0,25.1,1.2,96.85,0.3,0.07,0.0,0.0,1.57,0.0,,,,,0,0
44158,39061000200,2002,2,"""Hamilton County"," Ohio""",1335.0,42.39,574.0,99.33,369.0,15938.0,0.0,25.1,1.2,96.85,0.3,0.07,0.0,0.0,1.57,0.0,58.0,22.0,3.83,10.11,0,0
44159,39061000200,2003,2,"""Hamilton County"," Ohio""",1335.0,42.39,566.0,99.33,369.0,15938.0,0.0,25.1,1.2,96.85,0.3,0.07,0.0,0.0,1.57,0.0,41.0,19.0,3.36,7.24,0,0
44160,39061000200,2004,2,"""Hamilton County"," Ohio""",1335.0,42.39,559.0,99.33,369.0,15938.0,0.0,25.1,1.2,96.85,0.3,0.07,0.0,0.0,1.57,0.0,68.0,24.0,4.3,12.17,0,0
44161,39061000200,2005,2,"""Hamilton County"," Ohio""",1462.0,47.78,551.0,96.08,474.0,22683.0,99200.0,26.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,36.0,6.53,12.16,0,0
44162,39061000200,2006,2,"""Hamilton County"," Ohio""",1462.0,47.78,543.0,96.08,474.0,22683.0,99200.0,26.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.0,1.1,8.47,0,0
44163,39061000200,2007,2,"""Hamilton County"," Ohio""",1462.0,47.78,536.0,96.08,474.0,22683.0,99200.0,26.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,1.12,9.71,0,0
44164,39061000200,2008,2,"""Hamilton County"," Ohio""",1462.0,47.78,528.0,96.08,474.0,22683.0,99200.0,26.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,14.0,2.65,7.76,0,0
44165,39061000200,2009,2,"""Hamilton County"," Ohio""",1462.0,47.78,521.0,96.08,474.0,22683.0,99200.0,26.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,7.68,0,0
