GEO_FIPS,Geo_QName,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A10024_001,SE_A10024_002,SE_A10024_003,SE_A10024_004,SE_A10024_005,SE_A10024_006,SE_A10024_007,SE_A10024_008,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_A13001A_001,SE_A13001A_002,SE_A13001A_003,SE_A13001B_001,SE_A13001B_002,SE_A13001B_003,SE_A13001C_001,SE_A13001C_002,SE_A13001C_003,SE_A13001D_001,SE_A13001D_002,SE_A13001D_003,SE_A13001E_001,SE_A13001E_002,SE_A13001E_003,SE_A13001F_001,SE_A13001F_002,SE_A13001F_003,SE_A13001G_001,SE_A13001G_002,SE_A13001G_003,SE_A13001H_001,SE_A13001H_002,SE_A13001H_003,SE_A13001I_001,SE_A13001I_002,SE_A13001I_003,SE_A10062B_001
39035101101,Census Tract 1011.01,2243,2243,18985.46,0.1181430184,951,342,126,216,66,150,609,342,267,951,539,154,108,40,27,44,39,27561,27561,36667,16282,,,,40208,,27083,37250,1059,951,108,815,55,371,148,205,36,815,148,205,2130,531,212,305,335,222,525,663,213,450,638,327,311,0,0,0,245,245,0,0,0,0,248,99,149,336,164,172,451,219,232,591,172,419,1768
39035101102,Census Tract 1011.02,4800,4800,9384.383,0.5114880841,2724,884,689,195,59,136,1840,1092,748,2724,1406,913,238,136,0,0,31,49457,49457,54077,28728,,,,,8716,13064,54638,3038,2724,314,1769,39,1229,194,229,78,1769,194,229,4800,390,287,160,274,545,3144,3502,397,3105,296,132,164,57,10,47,66,30,36,29,29,0,173,0,173,677,239,438,676,194,482,3349,293,3056,2591
39035101200,Census Tract 1012,2867,2867,5720.046,0.5012196968,1704,455,321,134,36,98,1249,581,668,1704,1162,270,104,72,72,0,24,24803,24803,33750,10375,,,,11436,,18504,40592,1891,1704,187,1256,23,540,283,316,94,1256,283,316,2858,294,128,601,520,194,1121,1757,385,1372,593,438,155,3,3,0,10,10,0,0,0,0,344,155,189,151,32,119,887,383,504,1312,169,1143,2095
39035101300,Census Tract 1013,1830,1830,7561.985,0.2419999629,947,255,141,114,37,77,692,347,345,947,577,220,39,78,25,8,0,27396,27396,32000,22237,,,,17981,36250,,31083,1179,947,232,798,5,329,198,220,46,798,198,220,1694,118,176,127,220,310,743,931,182,749,598,179,419,0,0,0,71,10,61,0,0,0,60,50,10,34,0,34,211,55,156,810,182,628,1270
39035101400,Census Tract 1014,2071,2071,4193.534,0.49385557,836,498,151,347,80,267,338,253,85,836,259,275,154,95,35,18,0,31154,31154,33705,27361,,21250,,,,33277,34548,1008,836,172,549,5,259,50,138,97,549,50,138,2045,420,124,78,451,308,664,1079,278,801,724,308,416,13,13,0,41,0,41,0,0,0,71,0,71,117,23,94,459,168,291,749,139,610,1459
39035101501,Census Tract 1015.01,2169,2169,11072.62,0.1958885524,959,475,255,220,75,145,484,283,201,959,385,279,100,171,9,7,8,24620,24620,26250,23917,,32917,,,,42422,24773,1056,959,97,610,18,203,143,192,54,610,143,192,2144,208,112,414,298,257,855,1240,426,814,516,206,310,23,0,23,84,0,84,0,0,0,111,36,75,170,66,104,497,95,402,1055,405,650,1360
39035101603,Census Tract 1016.03,2672,2672,11194.69,0.2386845036,871,555,208,347,39,308,316,158,158,871,212,272,106,100,85,43,53,32802,32802,32115,31607,,,,35792,33438,31071,34063,1101,871,230,515,31,187,54,194,49,515,54,194,2672,421,253,402,315,496,785,1534,540,994,623,313,310,0,0,0,0,0,0,0,0,0,323,182,141,192,41,151,583,253,330,1321,469,852,1572
39035101700,Census Tract 1017,2622,2622,9348.078,0.2804854694,1119,587,215,372,15,357,532,247,285,1119,435,303,128,164,82,7,0,22069,22069,28333,19195,,,,,,23409,28750,1375,1119,256,945,42,233,86,518,66,945,86,518,2622,466,160,510,359,297,830,1009,238,771,1263,699,564,7,0,7,0,0,0,0,0,0,307,199,108,36,0,36,488,248,240,952,189,763,2163
39035101800,Census Tract 1018,2713,2713,9411.062,0.2882777835,979,589,185,404,96,308,390,232,158,979,342,320,144,44,55,74,0,24403,24403,31765,15774,,,,29236,,27917,35813,1309,979,330,657,36,112,205,244,60,657,205,244,2564,554,290,438,368,161,753,1477,693,784,779,558,221,0,0,0,0,0,0,0,0,0,203,6,197,105,25,80,590,174,416,1103,525,578,1557
39035101901,Census Tract 1019.01,1574,1574,8047.887,0.1955792845,621,360,147,213,33,180,261,164,97,621,247,174,57,71,47,7,18,36382,36382,37885,26200,,,,45625,,45313,36875,789,621,168,394,21,175,115,63,20,394,115,63,1574,208,133,208,107,237,681,1039,381,658,227,76,151,0,0,0,30,22,8,0,0,0,216,17,199,62,53,9,638,177,461,678,221,457,972
