geoid,geoid2,geo_description,geo_unit,start_year,year,area_deprivation_index_percent
Geographic Identifier,GEOID2,Geographic Description,Geographic Unit,Start Year,Year,Area Deprivation Index (%)
15000US390017701001,390017701001,"Block Group 1, Census Tract 7701, Adams County, Ohio",Block Group,2020,2020,86.0
15000US390017701002,390017701002,"Block Group 2, Census Tract 7701, Adams County, Ohio",Block Group,2020,2020,84.0
15000US390017701003,390017701003,"Block Group 3, Census Tract 7701, Adams County, Ohio",Block Group,2020,2020,91.0
15000US390017701004,390017701004,"Block Group 4, Census Tract 7701, Adams County, Ohio",Block Group,2020,2020,52.0
15000US390017702001,390017702001,"Block Group 1, Census Tract 7702, Adams County, Ohio",Block Group,2020,2020,77.0
15000US390017702002,390017702002,"Block Group 2, Census Tract 7702, Adams County, Ohio",Block Group,2020,2020,55.0
15000US390017702003,390017702003,"Block Group 3, Census Tract 7702, Adams County, Ohio",Block Group,2020,2020,74.0
15000US390017702004,390017702004,"Block Group 4, Census Tract 7702, Adams County, Ohio",Block Group,2020,2020,78.0
15000US390017703001,390017703001,"Block Group 1, Census Tract 7703, Adams County, Ohio",Block Group,2020,2020,72.0
15000US390017703002,390017703002,"Block Group 2, Census Tract 7703, Adams County, Ohio",Block Group,2020,2020,80.0
15000US390017703003,390017703003,"Block Group 3, Census Tract 7703, Adams County, Ohio",Block Group,2020,2020,56.0
15000US390017703004,390017703004,"Block Group 4, Census Tract 7703, Adams County, Ohio",Block Group,2020,2020,80.0
15000US390017704001,390017704001,"Block Group 1, Census Tract 7704, Adams County, Ohio",Block Group,2020,2020,58.0
15000US390017704002,390017704002,"Block Group 2, Census Tract 7704, Adams County, Ohio",Block Group,2020,2020,92.0
15000US390017704003,390017704003,"Block Group 3, Census Tract 7704, Adams County, Ohio",Block Group,2020,2020,78.0
15000US390017704004,390017704004,"Block Group 4, Census Tract 7704, Adams County, Ohio",Block Group,2020,2020,85.0
15000US390017705001,390017705001,"Block Group 1, Census Tract 7705, Adams County, Ohio",Block Group,2020,2020,87.0
15000US390017705002,390017705002,"Block Group 2, Census Tract 7705, Adams County, Ohio",Block Group,2020,2020,89.0
15000US390017705003,390017705003,"Block Group 3, Census Tract 7705, Adams County, Ohio",Block Group,2020,2020,85.0
15000US390017706001,390017706001,"Block Group 1, Census Tract 7706, Adams County, Ohio",Block Group,2020,2020,86.0
15000US390017706002,390017706002,"Block Group 2, Census Tract 7706, Adams County, Ohio",Block Group,2020,2020,92.0
15000US390017706003,390017706003,"Block Group 3, Census Tract 7706, Adams County, Ohio",Block Group,2020,2020,64.0
15000US390030101001,390030101001,"Block Group 1, Census Tract 101, Allen County, Ohio",Block Group,2020,2020,33.0
15000US390030101002,390030101002,"Block Group 2, Census Tract 101, Allen County, Ohio",Block Group,2020,2020,26.0
15000US390030101003,390030101003,"Block Group 3, Census Tract 101, Allen County, Ohio",Block Group,2020,2020,46.0
15000US390030102001,390030102001,"Block Group 1, Census Tract 102, Allen County, Ohio",Block Group,2020,2020,52.0
15000US390030102002,390030102002,"Block Group 2, Census Tract 102, Allen County, Ohio",Block Group,2020,2020,33.0
15000US390030102003,390030102003,"Block Group 3, Census Tract 102, Allen County, Ohio",Block Group,2020,2020,37.0
15000US390030102004,390030102004,"Block Group 4, Census Tract 102, Allen County, Ohio",Block Group,2020,2020,58.0
15000US390030103001,390030103001,"Block Group 1, Census Tract 103, Allen County, Ohio",Block Group,2020,2020,37.0
15000US390030103002,390030103002,"Block Group 2, Census Tract 103, Allen County, Ohio",Block Group,2020,2020,28.0
15000US390030106001,390030106001,"Block Group 1, Census Tract 106, Allen County, Ohio",Block Group,2020,2020,68.0
15000US390030106002,390030106002,"Block Group 2, Census Tract 106, Allen County, Ohio",Block Group,2020,2020,22.0
15000US390030106003,390030106003,"Block Group 3, Census Tract 106, Allen County, Ohio",Block Group,2020,2020,53.0
15000US390030106004,390030106004,"Block Group 4, Census Tract 106, Allen County, Ohio",Block Group,2020,2020,77.0
15000US390030108001,390030108001,"Block Group 1, Census Tract 108, Allen County, Ohio",Block Group,2020,2020,49.0
15000US390030108002,390030108002,"Block Group 2, Census Tract 108, Allen County, Ohio",Block Group,2020,2020,62.0
15000US390030108003,390030108003,"Block Group 3, Census Tract 108, Allen County, Ohio",Block Group,2020,2020,27.0
15000US390030108004,390030108004,"Block Group 4, Census Tract 108, Allen County, Ohio",Block Group,2020,2020,40.0
15000US390030108005,390030108005,"Block Group 5, Census Tract 108, Allen County, Ohio",Block Group,2020,2020,50.0
15000US390030108006,390030108006,"Block Group 6, Census Tract 108, Allen County, Ohio",Block Group,2020,2020,21.0
15000US390030109001,390030109001,"Block Group 1, Census Tract 109, Allen County, Ohio",Block Group,2020,2020,41.0
15000US390030109002,390030109002,"Block Group 2, Census Tract 109, Allen County, Ohio",Block Group,2020,2020,69.0
15000US390030109003,390030109003,"Block Group 3, Census Tract 109, Allen County, Ohio",Block Group,2020,2020,63.0
15000US390030110001,390030110001,"Block Group 1, Census Tract 110, Allen County, Ohio",Block Group,2020,2020,50.0
15000US390030110002,390030110002,"Block Group 2, Census Tract 110, Allen County, Ohio",Block Group,2020,2020,59.0
15000US390030110003,390030110003,"Block Group 3, Census Tract 110, Allen County, Ohio",Block Group,2020,2020,92.0
15000US390030110004,390030110004,"Block Group 4, Census Tract 110, Allen County, Ohio",Block Group,2020,2020,52.0
