GEOID,name,diff
39035101101,'39035101101',48.75
39035101102,'39035101102',118.25
39035101200,'39035101200',76.0
39035101300,'39035101300',60.25
39035101400,'39035101400',17.25
39035101501,'39035101501',52.5
39035101603,'39035101603',44.75
39035101700,'39035101700',34.25
39035101800,'39035101800',52.0
39035101901,'39035101901',34.0
39035102101,'39035102101',27.75
39035102102,'39035102102',49.25
39035102200,'39035102200',13.5
39035102300,'39035102300',36.0
39035102401,'39035102401',17.25
39035102402,'39035102402',39.0
39035102700,'39035102700',81.0
39035102800,'39035102800',52.75
39035102900,'39035102900',14.0
39035103100,'39035103100',14.25
39035103300,'39035103300',236.5
39035103400,'39035103400',51.0
39035103500,'39035103500',23.75
39035103602,'39035103602',75.75
39035103800,'39035103800',35.0
39035103900,'39035103900',16.5
39035104100,'39035104100',23.25
39035104200,'39035104200',19.0
39035104300,'39035104300',10.75
39035104400,'39035104400',19.25
39035104600,'39035104600',18.5
39035104800,'39035104800',20.5
39035104900,'39035104900',29.75
39035105100,'39035105100',55.75
39035105300,'39035105300',33.25
39035105400,'39035105400',63.5
39035105500,'39035105500',35.75
39035105602,'39035105602',17.5
39035105700,'39035105700',46.25
39035105900,'39035105900',13.75
39035106100,'39035106100',41.0
39035106200,'39035106200',14.25
39035106300,'39035106300',52.5
39035106400,'39035106400',7.25
39035106500,'39035106500',8.5
39035106600,'39035106600',11.5
39035106800,'39035106800',44.25
39035106900,'39035106900',54.0
39035107000,'39035107000',6.0
39035107101,'39035107101',38.75
39035107701,'39035107701',-8.75
39035107802,'39035107802',100.75
39035108201,'39035108201',6.5
39035108301,'39035108301',-19.0
39035108400,'39035108400',7.25
39035108701,'39035108701',329.25
39035109301,'39035109301',45.5
39035109701,'39035109701',61.5
39035109801,'39035109801',240.75
39035110501,'39035110501',16.5
39035110801,'39035110801',19.5
39035110901,'39035110901',39.0
39035111202,'39035111202',15.75
39035111401,'39035111401',24.25
39035111500,'39035111500',17.5
39035111600,'39035111600',18.75
39035111700,'39035111700',38.25
39035111800,'39035111800',13.25
39035111902,'39035111902',9.0
39035112100,'39035112100',42.0
39035112200,'39035112200',20.25
39035112301,'39035112301',75.0
39035112400,'39035112400',13.5
39035112500,'39035112500',15.25
39035112600,'39035112600',25.75
39035112800,'39035112800',-9.25
39035113101,'39035113101',16.25
39035113500,'39035113500',7.5
39035113600,'39035113600',17.5
39035113801,'39035113801',130.0
39035114100,'39035114100',13.0
39035114300,'39035114300',32.25
39035114501,'39035114501',6.75
39035114600,'39035114600',34.0
39035114700,'39035114700',13.75
39035114900,'39035114900',38.25
39035115100,'39035115100',40.25
39035115200,'39035115200',16.75
39035115300,'39035115300',25.0
39035115400,'39035115400',64.5
39035115700,'39035115700',28.25
39035115800,'39035115800',62.75
39035115900,'39035115900',43.25
39035116100,'39035116100',14.75
39035116200,'39035116200',10.0
39035116300,'39035116300',36.0
39035116400,'39035116400',57.75
39035116500,'39035116500',28.75
39035116600,'39035116600',46.75
39035116700,'39035116700',13.25
39035116800,'39035116800',39.0
39035116900,'39035116900',22.75
39035117101,'39035117101',62.75
39035117102,'39035117102',10.0
39035117201,'39035117201',100.25
39035117202,'39035117202',33.75
39035117300,'39035117300',30.0
39035117400,'39035117400',22.5
39035117500,'39035117500',26.0
39035117600,'39035117600',29.75
39035117700,'39035117700',27.75
39035117800,'39035117800',24.5
39035117900,'39035117900',30.25
39035118101,'39035118101',34.75
39035118200,'39035118200',18.75
39035118301,'39035118301',22.0
39035118400,'39035118400',13.25
39035118500,'39035118500',19.5
39035118602,'39035118602',109.0
39035118700,'39035118700',15.5
39035118800,'39035118800',8.75
39035118900,'39035118900',50.25
39035119100,'39035119100',-2.5
39035119202,'39035119202',19.25
39035119300,'39035119300',203.75
39035119401,'39035119401',16.25
39035119402,'39035119402',50.5
39035119501,'39035119501',23.75
39035119502,'39035119502',24.25
39035119600,'39035119600',33.25
39035119701,'39035119701',33.0
39035119702,'39035119702',33.0
39035119800,'39035119800',36.25
39035119900,'39035119900',49.25
39035120200,'39035120200',38.75
39035120400,'39035120400',12.25
39035120500,'39035120500',27.25
39035120600,'39035120600',45.75
39035120701,'39035120701',13.75
39035120702,'39035120702',17.75
39035120801,'39035120801',39.75
39035120802,'39035120802',29.0
39035121100,'39035121100',8.75
39035121200,'39035121200',-1.75
39035121300,'39035121300',46.75
39035121401,'39035121401',16.75
39035121403,'39035121403',27.75
39035121500,'39035121500',8.75
39035121700,'39035121700',6.75
39035121800,'39035121800',3.25
39035121900,'39035121900',9.75
39035122100,'39035122100',9.5
39035122200,'39035122200',1.75
39035122300,'39035122300',-6.5
39035123100,'39035123100',0.75
39035123200,'39035123200',9.25
39035123400,'39035123400',14.25
39035123501,'39035123501',29.0
39035123502,'39035123502',38.0
39035123601,'39035123601',9.0
39035123602,'39035123602',7.25
39035123603,'39035123603',35.75
39035123700,'39035123700',-2.5
39035123800,'39035123800',75.0
39035123900,'39035123900',6.75
39035124100,'39035124100',43.75
39035124201,'39035124201',16.75
39035124202,'39035124202',16.75
